Income,LoanAmount,CreditScore,InterestRate,Education,EmploymentType,HasMortgage,HasDependents,LoanPurpose,Default
85994,50587,520,15.23,Bachelor's,Full-time,Yes,Yes,Other,0
50432,124440,458,4.81,Master's,Full-time,No,No,Other,0
84208,129188,451,21.17,Master's,Unemployed,Yes,Yes,Auto,1
31713,44799,743,7.07,High School,Full-time,No,No,Business,0
20437,9139,633,6.51,Bachelor's,Unemployed,No,Yes,Auto,0
90298,90448,720,22.72,High School,Unemployed,Yes,No,Business,1
111188,177025,429,19.11,Bachelor's,Unemployed,Yes,No,Home,0
126802,155511,531,8.15,PhD,Full-time,No,No,Home,0
42053,92357,827,23.94,Bachelor's,Self-employed,Yes,No,Education,1
132784,228510,480,9.09,High School,Self-employed,Yes,No,Other,0
140466,163781,652,9.08,High School,Unemployed,No,No,Education,0
149227,139759,375,5.84,PhD,Full-time,No,No,Education,1
23265,63527,829,9.73,Master's,Full-time,Yes,No,Auto,0
117550,95744,395,3.58,High School,Unemployed,No,No,Auto,0
139699,88143,635,5.63,Master's,Part-time,No,No,Home,0
74064,230883,432,5,Master's,Unemployed,Yes,No,Auto,0
119704,25697,313,9.63,PhD,Unemployed,Yes,No,Home,0
33015,10889,811,13.56,Master's,Self-employed,Yes,No,Other,0
40718,78515,319,14,Bachelor's,Self-employed,Yes,No,Education,1
123419,161146,376,16.96,High School,Self-employed,Yes,No,Other,0
30142,133714,429,15.58,PhD,Part-time,No,Yes,Business,0
146113,100621,419,9.32,Bachelor's,Unemployed,Yes,Yes,Business,0
132058,130912,583,5.82,High School,Unemployed,No,Yes,Business,0
118989,123300,528,15.29,PhD,Part-time,Yes,No,Business,1
56848,168918,468,19.1,Bachelor's,Unemployed,No,No,Education,0
81649,78193,839,21.41,Master's,Part-time,Yes,No,Business,0
114651,197648,343,21.07,Bachelor's,Part-time,Yes,No,Home,0
17633,167105,514,7.86,High School,Full-time,Yes,Yes,Auto,1
62519,29676,462,23.91,Bachelor's,Unemployed,Yes,No,Home,0
141412,197764,580,10.18,Bachelor's,Full-time,No,No,Education,0
39568,58945,604,6.67,High School,Unemployed,Yes,Yes,Auto,0
100284,225403,551,18.77,Master's,Unemployed,No,Yes,Business,1
102292,55337,840,16.11,Master's,Unemployed,Yes,No,Auto,0
85673,48773,787,22.42,PhD,Full-time,No,No,Education,0
92448,66282,607,11.31,Bachelor's,Part-time,Yes,No,Home,0
102178,179279,669,14.98,Master's,Self-employed,Yes,No,Home,0
102463,218433,506,9.23,Master's,Unemployed,No,No,Auto,0
85409,44772,540,2.96,Master's,Unemployed,No,No,Auto,0
26470,19818,695,20,PhD,Unemployed,Yes,Yes,Auto,0
87295,16281,707,13.82,Bachelor's,Part-time,No,No,Other,0
139321,43049,458,7.16,Master's,Self-employed,Yes,No,Home,1
21487,84115,386,20.89,PhD,Unemployed,Yes,Yes,Business,0
111716,215851,747,18.84,High School,Unemployed,No,Yes,Home,0
105732,33013,400,15.64,High School,Full-time,Yes,Yes,Auto,0
73117,221628,639,13.05,Bachelor's,Part-time,No,Yes,Home,0
125268,67671,795,11.42,High School,Self-employed,No,No,Business,0
24796,37657,498,8.2,High School,Part-time,Yes,Yes,Auto,0
95963,77552,560,6.63,Master's,Self-employed,Yes,Yes,Home,1
16170,66883,505,4.41,PhD,Self-employed,No,Yes,Education,0
143244,240591,393,23.15,High School,Self-employed,No,Yes,Business,0
103515,220032,369,22.36,PhD,Unemployed,No,No,Education,1
100949,145906,439,3.74,Bachelor's,Unemployed,No,No,Auto,0
92153,214064,634,2.34,PhD,Full-time,No,Yes,Education,0
70113,215064,657,6,Bachelor's,Self-employed,No,Yes,Home,0
24611,41605,417,15.11,Bachelor's,Unemployed,No,Yes,Business,0
37173,234059,455,15.12,PhD,Full-time,No,Yes,Other,0
31137,158128,351,5.4,Bachelor's,Unemployed,No,No,Other,0
49565,245711,655,23.41,High School,Unemployed,No,Yes,Auto,0
31644,75317,737,5.65,High School,Full-time,No,No,Business,0
49113,222046,771,22.8,High School,Unemployed,No,Yes,Other,0
85814,227368,669,19.11,High School,Unemployed,Yes,No,Education,1
110606,137139,669,18.01,Master's,Part-time,No,Yes,Home,0
76136,145318,775,12.44,PhD,Unemployed,No,Yes,Home,0
82461,222343,680,15.7,Master's,Unemployed,No,No,Home,0
37082,175274,694,15.59,Bachelor's,Unemployed,Yes,No,Business,0
149401,245626,534,15.82,Bachelor's,Unemployed,No,Yes,Auto,0
77135,159839,529,4.14,High School,Full-time,Yes,Yes,Other,0
34830,63072,416,20.34,Bachelor's,Unemployed,No,No,Home,0
142860,238718,318,13.06,High School,Part-time,No,Yes,Business,0
20236,165086,411,11.49,Bachelor's,Self-employed,No,Yes,Education,0
17142,110469,802,12.23,High School,Full-time,Yes,Yes,Auto,0
60000,117371,305,3.37,High School,Unemployed,Yes,No,Auto,0
142986,142571,674,19.35,Bachelor's,Self-employed,Yes,Yes,Education,0
59079,122293,585,20.25,High School,Full-time,No,No,Auto,0
118725,169932,750,7.86,High School,Full-time,Yes,No,Business,0
130625,17462,303,17.91,Master's,Self-employed,No,Yes,Business,0
49191,93324,487,2.65,High School,Unemployed,No,Yes,Home,0
46887,119386,730,17.44,PhD,Self-employed,No,Yes,Auto,0
23574,10480,579,3.46,Master's,Self-employed,No,Yes,Business,0
49335,187180,750,18.31,PhD,Self-employed,Yes,No,Home,0
143837,193310,658,14.15,Bachelor's,Self-employed,Yes,Yes,Other,0
99977,27219,683,3.12,Bachelor's,Unemployed,Yes,Yes,Other,0
80770,217916,574,20.97,High School,Part-time,Yes,No,Home,0
46238,134941,421,12.32,High School,Part-time,No,No,Auto,0
24742,219541,719,15.21,PhD,Self-employed,No,No,Auto,1
56982,223728,692,17.93,High School,Full-time,No,Yes,Home,0
137937,169513,542,14.38,High School,Part-time,No,Yes,Other,1
109000,17316,453,3.72,Master's,Full-time,No,No,Business,0
59243,217215,618,23.96,High School,Full-time,Yes,No,Home,0
35815,166586,351,14.96,High School,Unemployed,No,No,Auto,0
138569,248333,453,14.1,High School,Part-time,Yes,Yes,Other,0
90042,159330,659,4.28,Master's,Self-employed,Yes,No,Other,0
93741,232727,747,24.29,Master's,Full-time,Yes,Yes,Other,0
114694,106334,319,14.42,PhD,Full-time,Yes,No,Home,0
108283,84484,371,20.56,PhD,Part-time,Yes,No,Home,0
30200,182868,517,16.87,Bachelor's,Part-time,Yes,Yes,Auto,0
25274,134289,701,13.01,Master's,Unemployed,No,No,Business,0
55299,37681,361,24.1,Bachelor's,Part-time,No,Yes,Auto,0
100459,174884,578,22.29,Bachelor's,Full-time,Yes,No,Auto,0
74554,89606,656,15.78,Bachelor's,Self-employed,Yes,Yes,Business,0
47383,13109,553,19.57,Bachelor's,Unemployed,Yes,No,Business,0
148123,243038,734,10.29,High School,Self-employed,Yes,No,Home,0
128414,79538,346,2.02,PhD,Unemployed,Yes,Yes,Education,0
40782,172030,585,2.51,Bachelor's,Part-time,Yes,No,Home,1
28436,208194,584,12.71,PhD,Part-time,No,Yes,Other,0
145047,34875,811,21.59,Master's,Full-time,Yes,Yes,Education,0
93993,132471,481,17.7,High School,Self-employed,Yes,No,Education,0
137295,81022,447,8.14,Bachelor's,Unemployed,No,Yes,Education,0
29782,223983,691,12.35,Bachelor's,Part-time,Yes,Yes,Education,0
39811,85372,607,4.02,Master's,Self-employed,Yes,No,Business,0
42063,50451,457,9.8,High School,Unemployed,Yes,No,Business,0
21711,230251,616,22.46,Bachelor's,Part-time,Yes,No,Home,0
103746,229636,551,14.38,Bachelor's,Full-time,No,No,Other,0
66282,242287,564,4.76,High School,Self-employed,No,Yes,Other,0
132499,84549,315,21.42,PhD,Self-employed,No,Yes,Other,0
132751,31372,436,23.5,PhD,Unemployed,Yes,Yes,Education,0
22773,174149,533,9.9,High School,Part-time,Yes,No,Home,1
75994,113223,737,14.46,High School,Full-time,Yes,No,Home,0
146423,175145,372,21.64,PhD,Self-employed,No,Yes,Auto,0
106429,80930,394,11.51,PhD,Self-employed,No,Yes,Business,0
45015,103293,834,11.08,Bachelor's,Unemployed,Yes,No,Auto,0
57096,148064,339,21.04,Master's,Unemployed,Yes,Yes,Education,0
101452,155664,415,19.62,Master's,Full-time,No,Yes,Other,0
58478,174639,668,13.11,High School,Unemployed,No,Yes,Home,0
80893,141331,748,2.25,High School,Part-time,No,Yes,Auto,0
141484,150284,715,23.05,PhD,Unemployed,No,Yes,Home,0
112897,216797,479,14.12,PhD,Unemployed,No,Yes,Home,0
146992,52331,696,22.58,High School,Full-time,Yes,No,Home,0
92816,235363,751,5.79,PhD,Self-employed,Yes,Yes,Home,0
60596,158698,842,10.21,PhD,Part-time,Yes,Yes,Education,0
148629,111722,769,19.46,Master's,Unemployed,No,Yes,Auto,0
74954,242196,635,9.05,Bachelor's,Unemployed,Yes,Yes,Education,0
96409,144564,577,21.2,Master's,Unemployed,No,Yes,Education,0
134076,140885,602,22.89,Master's,Unemployed,No,Yes,Other,0
97979,146880,497,12.95,Master's,Full-time,Yes,Yes,Business,0
91414,104927,811,3.35,High School,Full-time,Yes,No,Education,0
29635,164946,714,9.55,High School,Full-time,No,No,Auto,0
78031,140988,578,2.69,Master's,Part-time,No,Yes,Home,0
60357,130636,396,4.22,High School,Part-time,Yes,Yes,Other,0
107173,14655,513,9.56,High School,Full-time,No,No,Home,0
64517,92300,842,2.54,Bachelor's,Full-time,No,No,Education,0
74632,130550,343,11.95,High School,Part-time,No,Yes,Education,0
105016,75374,522,20.65,Master's,Full-time,Yes,Yes,Business,0
16229,230359,335,22.98,High School,Full-time,Yes,Yes,Business,0
81192,41548,601,17.71,Master's,Unemployed,Yes,Yes,Other,0
108033,184054,499,16.77,Bachelor's,Self-employed,Yes,No,Auto,0
89715,189510,380,18.87,Bachelor's,Full-time,No,No,Business,0
142837,24067,375,11.85,Master's,Full-time,No,No,Auto,0
77101,91461,640,16.82,PhD,Part-time,No,Yes,Education,0
73511,164865,566,2.33,Bachelor's,Part-time,No,No,Business,0
78940,119094,627,11.4,PhD,Full-time,Yes,Yes,Auto,0
110549,89154,520,24.31,Master's,Unemployed,Yes,No,Education,0
29815,130015,528,21.53,PhD,Self-employed,Yes,No,Home,1
44236,74159,786,10.76,High School,Self-employed,No,No,Auto,0
28301,108810,524,6.68,Master's,Full-time,No,Yes,Home,0
58104,145388,449,23.68,Bachelor's,Self-employed,No,Yes,Other,0
105572,244549,489,13.84,High School,Unemployed,Yes,No,Business,0
92500,68622,439,20.72,Master's,Full-time,No,No,Other,0
38102,74817,401,8.49,PhD,Unemployed,No,Yes,Other,0
97972,153562,666,16.98,PhD,Unemployed,No,Yes,Education,0
126838,221077,818,23.15,High School,Self-employed,Yes,Yes,Business,0
133879,219533,841,8.82,Bachelor's,Self-employed,Yes,Yes,Business,0
110519,245997,406,22.18,High School,Full-time,Yes,Yes,Other,0
116392,33750,508,23.3,Bachelor's,Full-time,No,Yes,Home,0
65186,159843,743,14.36,Bachelor's,Unemployed,Yes,No,Home,0
78286,136444,580,19.22,PhD,Full-time,Yes,Yes,Other,0
141454,142537,669,18.68,Master's,Full-time,No,Yes,Auto,0
25124,219669,749,5.46,High School,Part-time,No,No,Auto,0
32363,126320,620,13.96,PhD,Part-time,Yes,Yes,Auto,0
72904,162983,536,8.4,PhD,Unemployed,No,No,Home,0
15192,152778,734,22.42,PhD,Part-time,Yes,No,Auto,1
30295,137613,375,10.78,High School,Part-time,No,Yes,Education,0
119334,147716,787,12.1,Master's,Part-time,Yes,No,Auto,0
134889,86160,592,13.22,Master's,Full-time,No,Yes,Home,0
49119,123531,541,7.55,High School,Full-time,No,Yes,Business,0
142277,79391,316,13.76,Bachelor's,Part-time,Yes,No,Education,0
99269,232619,720,11.86,Master's,Full-time,No,Yes,Home,0
